name,zone_id,x_coord,y_coord,geometry
,558,-122.4011589,37.7820284,POINT (-122.40115888 37.78202845)
,562,-122.4573318,37.7217838,POINT (-122.45733176 37.72178373)
,563,-122.4523956,37.7193286,POINT (-122.45239555 37.71932859)
,584,-122.4125954,37.783933,POINT (-122.41259543 37.78393299)
,613,-122.1969979,37.758918,POINT (-122.19699796 37.75891799)
,614,-122.1889463,37.7541581,POINT (-122.18894617 37.75415807)
,655,-122.2974489,37.8944075,POINT (-122.29744895 37.89440754)
,660,-122.2782006,37.8802854,POINT (-122.27820053 37.88028539)
,661,-122.2896362,37.8794472,POINT (-122.28963622 37.87944718)
,666,-122.4139445,37.751201,POINT (-122.41394447 37.75120104)
,668,-122.2192819,37.7777848,POINT (-122.21928201 37.77778488)
,679,-122.267564,37.852246,POINT (-122.26756393 37.852246)
,684,-121.8672416,37.3737018,POINT (-121.86724111 37.37370196)
,687,-122.2746228,37.8503694,POINT (-122.27462285 37.8503694)
,751,-122.4120842,37.7558368,POINT (-122.41208423 37.75583682)
,758,-122.0784573,37.6929313,POINT (-122.0784573 37.69293109)
,785,-122.2771352,37.8668441,POINT (-122.27713516 37.86684412)
,786,-122.2863197,37.865807,POINT (-122.2863197 37.86580705)
,796,-121.9350969,38.0229463,POINT (-121.9350969 38.02294625)
,815,-122.4125113,37.7607269,POINT (-122.4125113 37.76072695)
,828,-122.4093492,37.7946971,POINT (-122.40934926 37.79469715)
,829,-122.403475,37.7904975,POINT (-122.40347484 37.79049752)
,830,-122.4061645,37.7933506,POINT (-122.4061645 37.79335057)
,857,-122.4118881,37.7888066,POINT (-122.41188806 37.78880657)
,863,-122.275884,37.8583735,POINT (-122.27588397 37.85837357)
,864,-122.268048,37.8593612,POINT (-122.26804799 37.85936122)
,868,-122.4224915,37.7823391,POINT (-122.42249148 37.78233914)
,869,-122.4228807,37.7771541,POINT (-122.42288066 37.77715411)
